country_code,country_name,continent,income_groupincome_group,regime_type,un_sdg_region
ABW,Aruba,North America,High income,0,Latin America and Caribbean
AGO,Angola,Africa,Low income,Closed Autocracy,Sub-Saharan Africa
AGO,Angola,Africa,Lower-middle income,Closed Autocracy,Sub-Saharan Africa
AGO,Angola,Africa,Lower-middle income,Electoral Autocracy,Sub-Saharan Africa
AGO,Angola,Africa,Upper-middle income,Electoral Autocracy,Sub-Saharan Africa
ALB,Albania,Europe,Lower-middle income,Electoral Autocracy,Europe and Northern America
ALB,Albania,Europe,Lower-middle income,Electoral Democracy,Europe and Northern America
ALB,Albania,Europe,Upper-middle income,Electoral Democracy,Europe and Northern America
ARE,United Arab Emirates,Asia,High income,Closed Autocracy,Northern Africa and Western Asia
ARG,Argentina,South America,Upper-middle income,Electoral Democracy,Latin America and Caribbean
ARG,Argentina,South America,High income,Electoral Democracy,Latin America and Caribbean
ARM,Armenia,Asia,Low income,Electoral Autocracy,Northern Africa and Western Asia
ARM,Armenia,Asia,Lower-middle income,Electoral Autocracy,Northern Africa and Western Asia
ATG,Antigua and Barbuda,North America,Upper-middle income,0,Latin America and Caribbean
ATG,Antigua and Barbuda,North America,High income,0,Latin America and Caribbean
AUS,Australia,Oceania,High income,Liberal Democracy,Oceania
AUT,Austria,Europe,High income,Liberal Democracy,Europe and Northern America
AZE,Azerbaijan,Asia,Low income,Electoral Autocracy,Northern Africa and Western Asia
AZE,Azerbaijan,Asia,Lower-middle income,Electoral Autocracy,Northern Africa and Western Asia
AZE,Azerbaijan,Asia,Upper-middle income,Electoral Autocracy,Northern Africa and Western Asia
BDI,Burundi,Africa,Low income,Closed Autocracy,Sub-Saharan Africa
BDI,Burundi,Africa,Low income,Electoral Autocracy,Sub-Saharan Africa
BEL,Belgium,Europe,High income,Liberal Democracy,Europe and Northern America
BEN,Benin,Africa,Low income,Electoral Democracy,Sub-Saharan Africa
BEN,Benin,Africa,Low income,Liberal Democracy,Sub-Saharan Africa
BFA,Burkina Faso,Africa,Low income,Electoral Democracy,Sub-Saharan Africa
BFA,Burkina Faso,Africa,Low income,Electoral Autocracy,Sub-Saharan Africa
BGD,Bangladesh,Asia,Low income,Electoral Democracy,Central and Southern Asia
BGD,Bangladesh,Asia,Low income,Electoral Autocracy,Central and Southern Asia
BGD,Bangladesh,Asia,Low income,Closed Autocracy,Central and Southern Asia
BGD,Bangladesh,Asia,Lower-middle income,Electoral Autocracy,Central and Southern Asia
BGR,Bulgaria,Europe,Lower-middle income,Electoral Democracy,Europe and Northern America
BGR,Bulgaria,Europe,Upper-middle income,Electoral Democracy,Europe and Northern America
BHR,Bahrain,Asia,Upper-middle income,Closed Autocracy,Northern Africa and Western Asia
BHR,Bahrain,Asia,High income,Closed Autocracy,Northern Africa and Western Asia
BHS,"Bahamas, The",North America,High income,0,Latin America and Caribbean
BIH,Bosnia and Herzegovina,Europe,Lower-middle income,Electoral Democracy,Europe and Northern America
BIH,Bosnia and Herzegovina,Europe,Upper-middle income,Electoral Democracy,Europe and Northern America
BLR,Belarus,Europe,Lower-middle income,Electoral Autocracy,Europe and Northern America
BLR,Belarus,Europe,Upper-middle income,Electoral Autocracy,Europe and Northern America
BLZ,Belize,North America,Lower-middle income,0,Latin America and Caribbean
BLZ,Belize,North America,Upper-middle income,0,Latin America and Caribbean
BOL,Bolivia,South America,Lower-middle income,Electoral Democracy,Latin America and Caribbean
BRA,Brazil,South America,Upper-middle income,Electoral Democracy,Latin America and Caribbean
BRA,Brazil,South America,Lower-middle income,Electoral Democracy,Latin America and Caribbean
BRB,Barbados,North America,High income,Electoral Democracy,Latin America and Caribbean
BRB,Barbados,North America,Upper-middle income,Electoral Democracy,Latin America and Caribbean
BRB,Barbados,North America,High income,Liberal Democracy,Latin America and Caribbean
BRN,Brunei Darussalam,Asia,High income,0,Eastern and South-Eastern Asia
BTN,Bhutan,Asia,Low income,Closed Autocracy,Central and Southern Asia
BTN,Bhutan,Asia,Lower-middle income,Closed Autocracy,Central and Southern Asia
